country,party,year,speech_count,word_count,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,dominant_topic
CZ,STAN,2018,1515,92727,0.0005949896869502061,0.380787042649003,0.007817533652679917,0.03133697756788713,0.0958800960548016,0.0911946715090409,0.2857355185228437,0.032515073018526165,5.786017899699164e-06,0.07413231132036781,topic_1
CZ,TOP09,2018,2177,185588,0.001957380613510831,0.21605662633159778,0.0001202863034208896,0.045980013380189935,0.10477303668521486,0.0007114476797888257,0.16369553589315153,0.04334013867250982,0.023375610684043778,0.3999899237565719,topic_9
CZ,ANO2011,2019,7131,464360,0.0066915932907778974,0.12578274654118646,0.013776710134751789,0.6618606467301422,0.012486274684347267,0.07682195600959339,0.04879738194255163,0.003914476956316333,0.0012301990869398836,0.04863801462339324,topic_3
CZ,CSSD,2019,2254,182942,0.00040296241471983815,0.14160751512701963,0.0205205315889317,0.17658222809474752,0.06890838649929859,0.014426963544298078,0.4302552674997123,0.11389788585795968,0.0023658626153640083,0.031032396757948586,topic_6
CZ,KDU-ČSL,2019,2786,236518,0.004011550409700321,0.2061747686080188,0.023417816836339082,0.017727161149648604,0.061711511572935626,0.07336307604620464,0.5304814347204154,0.011857752531450622,0.003622940298811243,0.06763198782647557,topic_6
CZ,KSCM,2019,2106,153585,0.0012340120906607537,0.02376684982915991,0.02658603467263458,0.1745057442914002,0.619887072727327,0.08645304174050163,0.05070927375256731,0.003621508624075094,0.004067791954286891,0.009168670317386635,topic_4
CZ,ODS,2019,6870,603081,0.0007978519070212494,0.701756063701058,0.022653932052036533,0.0955721022997235,0.015057514074258625,0.026882500782257936,0.08092339348101468,0.0010707364746685918,0.0023179135075601393,0.05296799172040067,topic_1
CZ,Piráti,2019,3897,292677,0.03966403498509719,0.24972265316736494,0.041898141508325826,0.199150979719732,0.012066227486207656,0.11978282619410566,0.2149657263936972,1.7915567456981496e-06,0.0009712224551292468,0.12177639653359451,topic_1
CZ,SPD,2019,1507,110468,0.00671420083126106,0.06636971999291447,0.0012041226327569004,0.19380507943443973,0.2868079952048551,0.09750208929851213,0.1068151687810902,0.0018278592000462147,0.21259935968035296,0.0263544049437712,topic_4
CZ,STAN,2019,1262,97739,0.013739430870707945,0.3284258120967941,0.02945806624486495,0.015027119763650997,0.028252794396837935,0.14866582908426967,0.28170742168799046,0.0012668528772944198,0.0045030893447824,0.148953583632807,topic_1
CZ,TOP09,2019,2397,190822,0.009659841320669622,0.08516502863037688,0.013367614935980916,0.10445396274351589,0.006095435144753827,0.010436470680580165,0.14133003817029005,0.0002581178586784814,0.0032714503489387967,0.6259620401662154,topic_9
CZ,ANO2011,2020,5246,347684,0.31567488890879136,0.004578690728456063,0.0045300444072343855,0.5793603098207686,0.024894656637999793,0.06523692272028535,0.0007844147009683861,0.0037503646771446793,0.0007141117701249315,0.0004755956282265341,topic_3
CZ,CSSD,2020,2596,225628,0.33242052405924005,0.10949579717767795,0.007348360762171882,0.0016564456917021505,0.004923654844809768,0.005779471778839006,0.3798423383308601,0.15149232985074296,2.4871048244637726e-06,0.00703859039913167,topic_6
CZ,KDU-ČSL,2020,2946,262701,0.49611318355410083,0.13468645963507175,0.001968969518901508,0.00018305063546496223,0.00020305161420831923,0.016344958636761654,0.34605541639472576,0.0005546045584772067,2.1274739603804228e-06,0.0038881779783277192,topic_0
CZ,KSCM,2020,2979,226097,0.2860126713944101,0.021699015465095506,0.01241532705045871,0.1381255159030929,0.4828534395394474,0.047970631473397946,0.0012326200904352294,0.009140776984380702,2.413995135172655e-06,0.0005475881041464079,topic_4
CZ,ODS,2020,6111,526666,0.3832644512859919,0.5336815410744756,0.01651327926326623,0.027988446426239325,0.006296230942197481,0.010672368624106456,0.007560060717372994,0.010841544906020508,0.00047040553116771384,0.00271167122916163,topic_1
CZ,Piráti,2020,5145,379723,0.5590066302157963,0.09124910691089089,0.005671019586116478,0.0411767933888262,0.014692724301549684,0.16399444306977562,0.07824200627796776,0.0010873996543019132,0.0005307924973399251,0.04434908409743521,topic_0
CZ,SPD,2020,1924,150929,0.4960381046791401,0.04361290073105841,0.00011642769449291759,0.005014855452102225,0.1604125560453463,0.11241831568122797,0.0019268110374365053,2.7695142490048716e-05,0.16582795362418437,0.014604379912521235,topic_0
CZ,STAN,2020,1604,119002,0.5550248424534145,0.1994914920006371,0.0014883140887692952,0.0015396854471935127,4.473548555535038e-06,0.10750074988588511,0.09857393394847754,4.4735155145129045e-06,4.4735310172935314e-06,0.036367561580535786,topic_0
CZ,TOP09,2020,2175,195049,0.5727895528645569,0.13430998299037414,0.004484449046738928,0.0015305709426393123,0.0035468368878422882,3.020463137178237e-06,0.02052802387360077,0.001735583225622202,3.020433469314121e-06,0.26106895927201906,topic_0
CZ,ANO2011,2021,5719,423459,0.2939502247184975,0.002501879963822823,0.06081978297756643,0.5471228739910866,0.006695636951997185,0.0015391163982827237,0.06629967745618957,0.017097664516507953,0.0019405756513999827,0.0020325673746490317,topic_3
CZ,CSSD,2021,1930,166851,0.3505575708913309,0.001719179859524017,0.005068745571946331,0.10102743564642706,0.0005673397667283253,0.06432367817244675,0.38258689185292805,0.08890950236082609,0.005236462531125693,3.1933467166605617e-06,topic_6
CZ,KDU-ČSL,2021,2498,225236,0.4672064803732341,0.05161562020778908,0.00882064843928062,0.028356627487080177,0.0007378584071931952,0.0034138790223202315,0.40970097011535583,0.029574059745827858,2.438169766116246e-06,0.0005714180321527721,topic_0
CZ,KSCM,2021,1670,155033,0.4095284483889558,0.0003086230221463625,0.04015563122782425,0.05208985883759543,0.44490600686453197,0.002182539343966465,0.03849381143464325,0.007381477217942271,0.004949962684462854,3.640977931469593e-06,topic_4
CZ,ODS,2021,2871,271657,0.4727384856513045,0.3508191309559178,0.029940232286467187,0.02338771665330793,0.007192982498335801,0.026190628819780095,0.04919398166534611,0.03699964542195908,0.002641775767874402,0.0008954202797070178,topic_0
CZ,PirSTAN,2021,26,2776,0.3201375458340394,0.00023987644256110086,0.5609264790494614,0.00023987490414268138,0.00023986803200039998,0.00023987058147581966,0.00023988055984498478,0.08752032611523347,0.029976398456784084,0.0002398800244568113,topic_2
CZ,Piráti,2021,3667,313585,0.5080165010884886,0.007614901044994405,0.0086099434714877,0.10476887807937661,0.0006056623492100622,0.14254413098238336,0.1884380028732104,0.0003071237873856925,0.023425287164815508,0.01566956915864752,topic_0
CZ,SPD,2021,2595,245921,0.55715592919125,0.0015034729145493985,0.0011219787155478257,0.032786280729956194,0.11679937701568101,2.2648292802109385e-06,2.2648235181546876e-06,0.005295870615664278,0.23892359148702333,0.0464089696775295,topic_0
